65,701	1,4985	-573	NAN
65,801	1,503	-580	NAN
65,901	1,5075	-583	NAN
66,001	1,5105	-586	NAN
66,101	1,47	-582	NAN
66,201	1,4685	-581,5	NAN
66,301	1,4715	-581,5	NAN
66,401	1,512	-585	NAN
66,501	1,5675	-597,5	NAN
66,601	1,6065	-611	NAN
66,701	1,6575	-625	NAN
66,801	1,707	-640,5	NAN
66,901	1,743	-654	NAN
67,001	1,773	-664	NAN
67,101	1,8045	-674,5	NAN
67,201	1,851	-687,5	NAN
67,301	1,9335	-706,5	NAN
67,401	1,962	-719,5	NAN
67,501	1,9785	-728	NAN
67,601	1,9905	-733	NAN
67,701	2,0265	-742	NAN
67,801	2,0475	-748	NAN
67,901	2,0775	-755,5	NAN
68,001	2,094	-761,5	NAN
68,101	2,106	-765,5	NAN
68,201	2,1075	-768	NAN
68,301	2,124	-771	NAN
68,401	2,157	-778	NAN
68,501	2,1735	-783	NAN
68,601	2,187	-787	NAN
68,701	2,2125	-793	NAN
68,801	2,235	-799	NAN
68,901	2,259	-805,5	NAN
69,001	2,2695	-809	NAN
69,101	2,2935	-814	NAN
69,201	2,316	-818,5	NAN
69,301	2,337	-824,5	NAN
69,401	2,349	-828,5	NAN
69,501	2,364	-832,5	NAN
69,601	2,3865	-837	NAN
69,701	2,403	-841,5	NAN
69,801	2,421	-846	NAN
69,901	2,4345	-849,5	NAN
70,001	2,445	-852	NAN
70,101	2,4615	-856	NAN
70,201	2,466	-857	NAN
70,301	2,4855	-861	NAN
70,401	2,511	-865	NAN
70,501	2,517	-868	NAN
70,601	2,517	-870	NAN
70,701	2,5185	-870	NAN
70,801	2,5185	-870,5	NAN
70,901	2,5185	-870,5	NAN
71,001	2,523	-871	NAN
71,101	2,5245	-871	NAN
71,201	2,535	-872,5	NAN
71,301	2,5395	-874	NAN
71,401	2,55	-875,5	NAN
71,501	2,574	-880	NAN
71,601	2,5785	-882,5	NAN
71,701	2,58	-883,5	NAN
71,801	2,586	-884	NAN
